"SamplingPoint","Date","Week","Longitude","Latitude","Altitude","Temperature","AirPressure","Humidity","Precipitation","WindSpeed","Population","PM10","WeeklyPM10"
"SPO-SE0003A_00005_100","2017-10-02",40,18.0488,59.3172,24,12.5,1007.73333333333,85.0416666666667,12,153.333333333333,1745766,19.3333333291667,14.1299369708193
"SPO-SE0004A_00005_100","2017-10-02",40,11.9702,57.709,31.3,13.7,1001.89583333333,85.5,25.6,183.375,564039,11.9835416595833,10.4905752214933
"SPO-SE0005R_00005_100","2017-10-02",40,15.3197,63.8455,380,8.3,1004.44166666667,93.25,12.6,121.458333333333,0,4.7,2.17142857
"SPO-SE0014R_00005_100","2017-10-02",40,11.9142,57.3937,2,13.9,1001.89583333333,85.5,25.6,183.458333333333,0,16.1,11.7285714271429
"SPO-SE0021A_00005_100","2017-10-02",40,11.9946,57.7009,4.8,13.7,1001.89583333333,85.5,25.6,183.375,564039,14.5909546347826,12.8108955858042
"SPO-SE0022A_00005_100","2017-10-02",40,18.0578,59.316,58,12.5,1007.73333333333,85.0416666666667,12,153.333333333333,1745766,19.87916666125,7.12142856803571
"SPO-SE0027A_00005_100","2017-10-02",40,18.0583,59.3408,8,12.5,1007.73333333333,85.0416666666667,12,153.333333333333,1745766,23.2208333304167,12.4497670776889
"SPO-SE0056A_00005_101","2017-10-02",40,12.8336,55.8774,10,12.9,1006.275,91.25,16.5,180.25,0,11,8.71428571428571
"SPO-SE0058A_00005_100","2017-10-02",40,13.0062,55.5847,11,12.9,1008.5125,91.8333333333333,15.9,194.958333333333,333633,17.0083333295833,12.2985507215295
"SPO-SE0059A_00005_100","2017-10-02",40,20.2585,63.8289,15,9.6,1014.86666666667,83.875,19.8,134.583333333333,125080,16.38333333,8.17321428208333
"SPO-SE0061A_00005_100","2017-10-02",40,15.9922,59.5139,6.5,12.5,1006.31666666667,91.4583333333333,9,162.5,0,NA,NA
"SPO-SE0066A_00005_100","2017-10-02",40,18.6313,59.8324,24,11.4,1009.74166666667,87.9166666666667,10.9,152.208333333333,0,19.0541666629167,8.63749999630953
